id,ABEV3,AZUL4,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRDT3,BRFS3,BRKM5,BRML3,BTOW3,CCRO3,CIEL3,CMIG4,COGN3,CPFE3,CRFB3,CSAN3,CSNA3,CVCB3,CYRE3,ECOR3,EGIE3,ELET3,ELET6,EMBR3,ENBR3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GNDI3,GOAU4,GOLL4,HAPV3,HGTX3,HYPE3,IGTA3,IRBR3,ITSA4,ITUB4,JBSS3,KLBN11,LAME4,LREN3,MGLU3,MRFG3,MRVE3,MULT3,NTCO3,PCAR3,PETR3,PETR4,PRIO3,QUAL3,RADL3,RAIL3,RENT3,SANB11,SBSP3,SULA11,SUZB3,TAEE11,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VIVT3,VVAR3,WEGE3,YDUQ3,Ibovespa,IBOV
197,9,6,18,26,2,61,24,27,7,5,16,10,23,5,7,9,41,19,14,1,3,4,13,18,9,16,25,23,5,15,45,2,3,16,28,10,5,13,5,3,2,1,1,4,19,34,27,12,7,10,52,15,5,0,9,0,4,14,2,1,23,67,16,15,21,11,29,35,0,6,1,4,10,0,16,2,0,19,3
198,9,5,19,35,3,75,17,37,13,13,12,14,14,5,8,9,46,16,22,2,3,5,19,15,7,17,24,26,7,16,56,1,11,21,23,13,8,15,4,3,1,1,1,4,19,37,26,12,13,12,52,23,8,2,3,0,4,14,4,1,22,72,26,23,21,10,32,28,0,10,1,5,13,0,31,2,0,19,3
199,12,5,13,34,4,59,23,34,14,5,9,15,23,3,9,6,48,9,14,2,6,5,16,22,7,9,25,17,11,9,41,1,8,25,29,12,4,11,3,3,12,1,1,3,21,46,24,11,10,12,44,18,5,1,6,0,4,12,3,1,31,48,20,26,9,8,27,33,0,9,1,8,11,0,28,2,0,21,3
200,10,6,14,31,3,56,16,36,7,3,6,16,12,4,8,5,58,12,23,1,2,3,19,27,6,12,30,19,15,21,50,1,8,17,35,16,1,12,5,4,4,1,1,4,22,36,30,9,4,9,45,16,7,2,7,0,5,14,4,1,23,39,20,20,15,8,34,24,1,8,1,6,14,0,25,3,0,25,5
201,12,3,13,35,5,75,19,43,9,3,10,20,20,3,4,6,41,12,30,3,3,5,15,21,8,8,28,29,9,15,41,2,9,16,23,11,3,8,4,4,3,1,0,21,20,38,30,14,5,10,44,11,5,0,7,0,7,14,5,1,12,50,19,14,13,8,28,29,0,10,1,6,11,0,22,3,0,25,4
202,21,2,9,32,5,73,52,30,13,6,7,16,15,2,7,5,34,6,19,2,2,6,20,30,7,7,21,32,14,16,35,2,9,20,35,8,3,7,3,3,4,1,0,29,19,55,27,13,5,10,42,9,3,1,5,0,6,13,4,1,19,46,21,31,12,14,38,32,0,17,1,6,11,0,20,3,0,26,4
203,23,5,13,30,6,72,29,33,16,7,10,11,11,2,8,7,28,8,15,0,9,5,12,22,6,11,25,23,15,12,48,5,7,20,23,11,3,11,4,3,3,1,1,21,23,36,25,11,10,5,42,27,3,1,7,0,6,13,3,1,23,39,11,14,8,10,31,29,0,18,2,4,11,0,22,5,0,21,4
204,31,11,11,32,6,58,33,21,9,6,5,12,11,2,7,4,27,10,14,2,2,2,15,33,4,6,34,23,5,10,50,1,8,16,38,10,2,13,12,2,2,1,0,14,25,44,25,11,7,7,55,12,6,1,4,0,5,17,3,1,21,32,13,15,13,7,20,53,0,8,1,4,16,0,21,4,0,31,7
205,31,17,13,37,6,71,40,28,13,8,7,22,18,4,5,5,39,11,18,2,2,3,23,100,9,7,42,20,10,15,56,4,18,18,50,15,3,14,24,4,3,5,1,100,34,47,28,15,6,12,53,12,8,1,8,1,7,20,4,1,38,42,11,30,17,9,34,48,0,7,2,6,17,0,27,4,0,38,8
206,35,45,24,84,14,100,73,26,39,9,16,29,21,5,10,13,43,23,25,4,4,6,40,66,12,12,72,29,14,20,100,4,15,27,82,17,5,21,48,3,2,2,1,49,63,100,40,17,8,18,100,18,4,3,8,0,25,100,8,1,51,59,45,42,30,28,32,92,0,8,2,8,29,1,45,6,0,100,23
207,29,100,20,82,14,98,55,16,31,7,10,25,20,4,7,7,42,26,29,4,7,6,25,76,13,9,46,32,22,30,74,4,13,24,52,15,5,18,100,4,1,3,1,30,55,89,33,13,8,17,95,12,7,3,6,1,17,73,6,1,74,65,36,30,26,23,31,67,0,10,2,8,24,1,47,5,1,94,19
208,22,83,19,86,13,91,50,26,24,6,14,23,29,6,8,5,32,21,20,2,9,4,26,62,12,12,47,39,15,35,54,5,18,16,51,14,5,15,91,3,3,2,1,29,49,66,33,16,8,19,70,13,5,2,7,1,12,47,5,1,61,47,60,34,22,14,40,51,0,15,2,8,17,0,36,5,0,67,13
209,21,65,14,73,9,89,42,17,23,6,20,23,14,5,8,3,25,29,80,2,6,7,27,56,13,12,40,37,16,31,46,6,9,21,43,13,4,13,62,3,2,2,2,24,37,62,26,15,8,15,53,11,5,1,6,1,11,43,5,1,42,60,82,46,14,14,38,53,0,13,3,7,14,0,33,3,0,50,9
